LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.235,15.350510200000002,3.558393,0.441,9.155029300000002,0.964488
de-en,0.397,13.264046,2.286715,0.485,9.062764299999998,0.877836
fi-en,0.337,12.962185899999994,2.19559,0.621,9.007933499999993,0.491337
lv-en,0.222,14.12470350000001,3.1802,0.591,7.041996800000007,0.303266
ru-en,0.342,15.306884300000007,2.705046,0.491,9.041217799999998,0.265173
tr-en,0.341,14.761523600000004,3.258908,0.473,9.018889900000005,0.227115
zh-en,0.367,15.699396800000017,2.547295,0.454,9.111060199999997,0.818632
cs-en,0.037,13.529187399999984,3.118691,0.408,9.196823600000016,0.781209
de-en,0.117,13.30923039999999,2.614685,0.392,10.011224800000008,0.71131
fi-en,0.079,11.716830800000025,2.0854,0.587,9.86262800000003,0.332823
lv-en,-0.061,12.162060300000007,2.570521,0.544,7.478032999999982,0.248722
ru-en,-0.000,14.133477200000016,2.56103,0.446,9.47411790000001,0.265277
tr-en,-0.021,12.458868499999994,2.574385,0.400,9.394848300000035,0.227003
zh-en,-0.091,13.059653000000026,2.381322,0.356,9.574334600000043,0.818632
cs-en,0.059,12.629949099999976,3.474026,0.390,9.672987500000033,0.782329
de-en,0.291,10.811727000000019,2.263546,0.454,9.593871999999976,0.711334
fi-en,0.131,11.02585959999999,2.185152,0.586,9.502611300000012,0.332903
lv-en,-0.049,12.546387000000038,3.173212,0.539,7.427529300000003,0.248746
ru-en,0.208,12.76047410000001,2.701554,0.443,9.486036500000012,0.265253
tr-en,0.082,11.873998299999982,3.258216,0.414,9.535930399999984,0.227195
zh-en,0.300,13.624790400000052,2.544587,0.421,9.62605080000003,0.818768
