LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.237,21.59,3.56,0.443,11.02002490000001,0.964417
de-en,0.395,15.41,2.29,0.484,11.985984499999972,0.877643
fi-en,0.338,16.77,2.2,0.621,11.660353199999975,0.491278
lv-en,0.223,18.05,3.18,0.591,8.802213900000027,0.303385
ru-en,0.341,17.58,2.7,0.491,10.105871699999966,0.26505
tr-en,0.341,16.45,3.26,0.474,9.929220200000032,0.227056
zh-en,0.369,17.46,2.55,0.455,10.583647300000052,0.818577
cs-en,0.036,14.44,3.12,0.409,9.806299099999933,0.78113
de-en,0.116,13.79,2.61,0.391,9.782603299999892,0.711005
fi-en,0.076,11.66,2.09,0.587,9.624833099999933,0.332652
lv-en,-0.058,13.43,2.57,0.545,8.592870800000014,0.248681
ru-en,0.000,14.4,2.56,0.447,9.771856299999968,0.264994
tr-en,-0.021,12.64,2.57,0.401,10.088713100000064,0.227112
zh-en,-0.089,13.35,2.39,0.357,9.859423300000003,0.818577
cs-en,0.060,12.26,3.47,0.392,9.856525500000089,0.782146
de-en,0.290,11.08,2.26,0.454,9.820659200000023,0.711085
fi-en,0.133,11.3,2.19,0.586,9.918637699999977,0.332732
lv-en,-0.051,12.53,3.17,0.539,7.770149599999968,0.248809
ru-en,0.208,14.04,2.7,0.443,10.296020999999996,0.26513
tr-en,0.082,12.19,3.26,0.415,9.581626400000005,0.227136
zh-en,0.304,13.63,2.54,0.422,9.77611730000001,0.818657
cs-en,-0.024,9.28,2.02,0.337,9.90925500000003,0.782522
de-en,0.095,10.01,2.15,0.383,9.58875779999994,0.712341
fi-en,-0.042,9.5,1.86,0.552,9.545540699999947,0.333932
lv-en,-0.099,7.61,2.32,0.488,7.5217983,0.250065
ru-en,-0.043,30.04,6.67,0.412,9.523303100000021,0.26633
tr-en,-0.063,10.95,2.87,0.326,9.612673099999938,0.22828
zh-en,-0.068,12.77,2.33,0.285,9.400688199999877,0.819857
