LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.160,9.110027500000001,2.015753,0.299,9.278019200000003,0.96482
de-en,0.177,10.292973199999999,1.988626,0.309,9.2357825,0.877763
fi-en,0.337,9.480935499999994,1.717757,0.547,9.113929799999994,0.491262
lv-en,0.209,7.398999599999996,2.197985,0.433,7.177502599999997,0.304561
ru-en,0.212,32.051195899999996,6.504297,0.367,9.381734900000012,0.265204
tr-en,0.248,11.04265430000001,2.818602,0.378,9.219117899999986,0.226882
zh-en,0.327,12.963893299999995,2.148161,0.435,9.392307200000005,0.818617
cs-en,-0.096,8.903752400000002,1.933335,0.329,9.517910099999995,0.781228
de-en,-0.039,10.184724599999981,1.964971,0.347,9.465277499999985,0.711125
fi-en,-0.182,9.4802775,1.709637,0.555,9.269209799999999,0.332804
lv-en,-0.225,7.356032900000002,2.194939,0.470,7.3291863999999975,0.248417
ru-en,-0.142,29.54393140000002,6.484609,0.400,9.334722199999987,0.265204
tr-en,-0.105,10.702283799999975,2.818474,0.325,9.285056600000019,0.226986
zh-en,-0.069,12.67135669999999,2.144341,0.342,9.394006200000035,0.818617
cs-en,-0.040,8.9588885,1.930679,0.365,9.461269000000016,0.781228
de-en,-0.012,10.347310100000016,1.964971,0.369,9.386557699999969,0.711125
fi-en,-0.001,9.673124099999995,1.709637,0.583,9.341688399999953,0.332748
lv-en,-0.121,7.3618097000000375,2.194811,0.530,7.2605126999999925,0.248369
ru-en,0.018,30.698591899999997,6.484609,0.387,9.419872999999995,0.265148
tr-en,-0.072,10.816795600000034,2.818602,0.366,9.23459889999998,0.226882
zh-en,-0.051,12.79886479999999,2.144341,0.349,9.377055700000028,0.818617
